Total_Population,Median_Income,Percent_Bachelor_or_Higher,ZIP
8855,92602,91.4,02916
14868,94531,90.7,02917
2960,-666666666,100.0,02918
29453,83408,92.0,02919
36907,70076,87.5,02920
12205,123066,94.6,02921
11814,152796,99.4,03031
5949,138750,95.5,03032
5659,163628,98.4,03033
4202,117500,95.2,03034
5237,135326,97.6,03036
4700,118606,92.1,03037
34506,94655,92.7,03038
7180,96558,93.3,03042
1444,104500,97.7,03043
4738,121583,92.4,03044
14165,109452,95.4,03045
3000,138036,94.6,03046
1784,99583,95.2,03047
3489,86914,88.7,03048
8429,155339,98.2,03049
25385,125216,95.6,03051
8484,134000,94.3,03052
25780,129571,97.1,03053
27139,120730,95.9,03054
16151,84912,95.6,03055
2607,156389,93.2,03057
31469,69452,88.2,03060
28866,101433,95.2,03062
15941,103466,95.4,03063
14667,83780,91.2,03064
6099,137813,93.8,03070
5244,91824,93.2,03071
14221,121875,95.8,03076
10773,91520,94.0,03077
30350,101856,95.7,03079
1606,114107,96.1,03082
1372,93194,91.6,03084
4116,89113,96.1,03086
15764,171563,98.0,03087
3228,74146,88.1,03101
33759,66064,89.9,03102
37093,68344,81.7,03103
34962,80018,92.4,03104
14654,100711,93.7,03106
10374,94818,94.4,03109
23385,151850,97.2,03110
248,89276,100.0,03215
2041,85909,90.3,03216
2239,53367,91.0,03217
1535,88188,91.9,03218
7454,72642,89.1,03220
2263,95104,95.0,03221
5894,76497,90.0,03222
3380,107500,88.2,03223
2343,114167,94.5,03224
3406,91111,95.2,03225
820,100192,97.1,03226
1461,136371,98.6,03227
5925,115682,96.9,03229
1491,62500,93.1,03230
110,135625,100.0,03231
209,125968,100.0,03233
4846,90805,90.8,03234
8827,66997,90.5,03235
2338,98542,97.5,03237
81,44398,100.0,03238
1200,72500,89.5,03240
1144,103750,93.7,03241
6094,76681,97.6,03242
902,81136,87.3,03243
7666,82647,95.2,03244
2125,78500,96.1,03245
16943,68024,91.2,03246
7725,112522,96.8,03249
1474,63813,88.1,03251
6701,65490,96.0,03253
4996,89728,96.0,03254
1899,117500,98.6,03255
2591,73456,93.7,03256
4381,84891,99.2,03257
2659,119028,96.8,03258
246,79375,94.9,03259
995,118304,98.7,03260
4632,122294,96.9,03261
1194,64928,94.0,03262
4093,64564,91.1,03263
6917,72025,97.1,03264
1929,55833,92.7,03266
1507,97731,94.6,03268
2957,87530,90.5,03269
309,176103,100.0,03273
12028,88475,92.7,03275
8811,68898,92.1,03276
3003,86806,93.2,03278
763,51793,96.4,03279
1097,85000,96.4,03280
9108,109779,96.5,03281
1083,87143,94.8,03282
798,107614,96.6,03284
2715,82593,98.9,03285
1502,110917,97.3,03287
5119,97035,95.8,03290
134,-666666666,100.0,03291
57,-666666666,100.0,03293
33986,78394,92.0,03301
16118,81992,93.0,03303
8235,147951,98.7,03304
5638,77473,92.1,03307
24891,69848,93.8,03431
2900,100833,95.8,03440
357,31750,92.1,03441
